rank,point_i,point_j,max_diff,avg_anger,avg_disgust,avg_fear,avg_happiness,avg_sadness,avg_surprise
1,77,307,0.018698,0.043636,0.044769,0.046491,0.059924,0.044023,0.041226
2,63,307,0.018698,0.042348,0.043366,0.045009,0.058361,0.042706,0.039663
3,63,293,0.018666,0.041065,0.042043,0.043717,0.056884,0.041529,0.038218
4,77,293,0.018665,0.042354,0.043448,0.045200,0.058448,0.042849,0.039783
5,63,292,0.018552,0.043669,0.044808,0.046519,0.059809,0.044142,0.041257
6,77,292,0.018551,0.044957,0.046211,0.048000,0.061371,0.045457,0.042820
7,62,307,0.018542,0.045046,0.046292,0.047855,0.061364,0.045398,0.042822
8,62,293,0.018510,0.043765,0.044971,0.046564,0.059889,0.044224,0.041379
9,62,292,0.018394,0.046366,0.047733,0.049364,0.062810,0.046831,0.044416
10,79,307,0.018363,0.041646,0.042644,0.044243,0.057281,0.042093,0.038919
11,63,309,0.018348,0.040528,0.041287,0.042956,0.055799,0.040933,0.037451
12,77,309,0.018344,0.041820,0.042692,0.044443,0.057364,0.042256,0.039020
13,79,293,0.018332,0.040361,0.041319,0.042948,0.055802,0.040915,0.037471
14,79,292,0.018219,0.042965,0.044087,0.045752,0.058730,0.043531,0.040511
15,62,309,0.018192,0.043229,0.044217,0.045807,0.058805,0.043631,0.040613
16,184,307,0.018022,0.039786,0.040948,0.042357,0.055409,0.040215,0.037387
17,79,309,0.018020,0.039819,0.040559,0.042185,0.054718,0.040315,0.036698
18,185,307,0.018005,0.041586,0.042893,0.044325,0.057336,0.042035,0.039330
19,184,293,0.017997,0.038501,0.039622,0.041059,0.053934,0.039035,0.035937
20,185,293,0.017985,0.040300,0.041565,0.043026,0.055863,0.040852,0.037879
21,63,408,0.017911,0.038490,0.039589,0.041055,0.053795,0.038961,0.035884
22,77,408,0.017901,0.039784,0.040997,0.042548,0.055357,0.040287,0.037455
23,184,292,0.017878,0.041103,0.042392,0.043866,0.056854,0.041651,0.038976
24,185,292,0.017861,0.042901,0.044336,0.045834,0.058779,0.043473,0.040918
25,63,409,0.017845,0.040340,0.041381,0.042899,0.055618,0.040640,0.037773
26,186,307,0.017845,0.043347,0.044889,0.046138,0.059035,0.043804,0.041191
27,186,293,0.017831,0.042059,0.043558,0.044835,0.057566,0.042618,0.039735
28,77,409,0.017831,0.041637,0.042791,0.044396,0.057178,0.041969,0.039346
29,192,307,0.017812,0.038551,0.039679,0.041077,0.053817,0.039036,0.036005
30,192,293,0.017792,0.037263,0.038348,0.039776,0.052344,0.037851,0.034551
31,62,408,0.017754,0.041191,0.042521,0.043910,0.056795,0.041662,0.039041
32,63,410,0.017738,0.042097,0.043212,0.044738,0.057368,0.042444,0.039630
33,77,410,0.017718,0.043399,0.044624,0.046240,0.058924,0.043778,0.041206
34,184,309,0.017702,0.037956,0.038859,0.040288,0.052851,0.038436,0.035149
35,186,292,0.017702,0.044661,0.046332,0.047645,0.060475,0.045243,0.042773
36,185,309,0.017696,0.039752,0.040800,0.042251,0.054782,0.040248,0.037086
37,63,416,0.017687,0.037213,0.038293,0.039729,0.052216,0.037749,0.034529
38,62,409,0.017684,0.043042,0.044314,0.045756,0.058613,0.043344,0.040929
39,77,416,0.017673,0.038513,0.039704,0.041228,0.053777,0.039082,0.036104
40,192,292,0.017670,0.039865,0.041122,0.042586,0.055260,0.040475,0.037591
41,79,408,0.017601,0.037776,0.038859,0.040281,0.052718,0.038342,0.035117
42,62,410,0.017571,0.044803,0.046147,0.047598,0.060355,0.045152,0.042784
43,186,309,0.017555,0.041503,0.042785,0.044052,0.056487,0.042007,0.038932
44,79,409,0.017544,0.039623,0.040650,0.042123,0.054543,0.040020,0.036999
45,62,416,0.017528,0.039918,0.041228,0.042588,0.055212,0.040457,0.037684
46,192,309,0.017509,0.036709,0.037579,0.038998,0.051263,0.037242,0.033754
47,79,410,0.017450,0.041371,0.042474,0.043958,0.056296,0.041818,0.038846
48,79,416,0.017389,0.036491,0.037558,0.038952,0.051141,0.037125,0.033751
49,184,408,0.017320,0.035893,0.037146,0.038368,0.050832,0.036451,0.033512
50,185,408,0.017319,0.037683,0.039082,0.040325,0.052755,0.038260,0.035436
51,184,409,0.017269,0.037734,0.038933,0.040202,0.052649,0.038127,0.035379
52,185,409,0.017269,0.039521,0.040864,0.042154,0.054563,0.039932,0.037295
53,186,408,0.017191,0.039426,0.041060,0.042114,0.054450,0.040018,0.037259
54,184,410,0.017188,0.039478,0.040751,0.042025,0.054392,0.039925,0.037204
55,185,410,0.017188,0.041255,0.042674,0.043966,0.056294,0.041719,0.039106
56,186,409,0.017145,0.041253,0.042833,0.043930,0.056247,0.041683,0.039102
57,192,408,0.017140,0.034635,0.035856,0.037066,0.049236,0.035253,0.032096
58,185,416,0.017130,0.036383,0.037767,0.038975,0.051163,0.037032,0.034033
59,184,416,0.017127,0.034601,0.035838,0.037026,0.049248,0.035234,0.032121
60,192,409,0.017095,0.036467,0.037634,0.038892,0.051046,0.036921,0.033951
61,97,307,0.017073,0.040135,0.041083,0.042702,0.055076,0.040432,0.038003
62,186,410,0.017072,0.042964,0.044619,0.045721,0.057961,0.043456,0.040889
63,192,410,0.017020,0.038189,0.039434,0.040701,0.052779,0.038702,0.035759
64,186,416,0.017012,0.038106,0.039727,0.040748,0.052849,0.038777,0.035837
65,97,293,0.017010,0.038861,0.039765,0.041418,0.053584,0.039262,0.036575
66,78,307,0.016978,0.041600,0.042614,0.044304,0.056652,0.041777,0.039674
67,192,416,0.016957,0.033324,0.034533,0.035713,0.047645,0.034017,0.030688
68,97,292,0.016935,0.041460,0.042523,0.044212,0.056534,0.041869,0.039599
69,78,293,0.016912,0.040328,0.041301,0.043023,0.055162,0.040612,0.038250
70,77,326,0.016912,0.040066,0.041046,0.042847,0.055046,0.040539,0.038134
71,77,308,0.016896,0.041489,0.042560,0.044432,0.056595,0.041906,0.039699
72,63,326,0.016888,0.038791,0.039645,0.041379,0.053473,0.039228,0.036585
73,58,307,0.016885,0.051263,0.052839,0.053942,0.065739,0.051890,0.048854
74,63,308,0.016869,0.040219,0.041164,0.042969,0.055023,0.040601,0.038154
75,58,293,0.016858,0.049980,0.051514,0.052648,0.064263,0.050713,0.047405
76,78,292,0.016840,0.042924,0.044052,0.045812,0.058110,0.043209,0.041270
77,62,326,0.016763,0.041479,0.042567,0.044213,0.056500,0.041916,0.039738
78,62,308,0.016747,0.042901,0.044080,0.045798,0.058050,0.043282,0.041303
79,58,292,0.016740,0.052581,0.054281,0.055452,0.067185,0.053324,0.050445
80,63,288,0.016739,0.050232,0.051648,0.052704,0.064194,0.050819,0.047455
81,77,288,0.016732,0.051525,0.053052,0.054190,0.065756,0.052139,0.049024
82,147,307,0.016719,0.043116,0.044133,0.045978,0.058066,0.043371,0.041347
83,77,325,0.016678,0.038844,0.039796,0.041444,0.053285,0.039363,0.036607
84,96,307,0.016677,0.038783,0.039748,0.041246,0.053300,0.039177,0.036623
85,63,325,0.016657,0.037566,0.038394,0.039972,0.051712,0.038047,0.035055
86,77,376,0.016653,0.043186,0.044183,0.046075,0.058086,0.043352,0.041433
87,147,293,0.016647,0.041849,0.042826,0.044703,0.056575,0.042214,0.039928
88,97,309,0.016647,0.038346,0.039017,0.040678,0.052494,0.038673,0.035847
89,63,376,0.016620,0.041922,0.042793,0.044622,0.056513,0.042059,0.039893
90,96,293,0.016616,0.037508,0.038429,0.039960,0.051807,0.038005,0.035191
91,187,293,0.016591,0.048154,0.049739,0.050626,0.062220,0.048642,0.045629
92,187,307,0.016586,0.049445,0.051079,0.051936,0.063678,0.049841,0.047092
93,147,292,0.016581,0.044439,0.045569,0.047485,0.059523,0.044798,0.042942
94,62,288,0.016579,0.052932,0.054575,0.055552,0.067194,0.053513,0.050615
95,58,309,0.016554,0.049435,0.050756,0.051882,0.063180,0.050114,0.046625
96,78,309,0.016544,0.039817,0.040558,0.042289,0.054072,0.040032,0.037528
97,96,292,0.016540,0.040108,0.041189,0.042757,0.054758,0.040616,0.038218
98,62,325,0.016530,0.040257,0.041318,0.042810,0.054741,0.040740,0.038211
99,62,376,0.016504,0.044596,0.045700,0.047441,0.059541,0.044727,0.043037
100,79,326,0.016496,0.038107,0.038930,0.040622,0.052376,0.038619,0.035880
101,79,308,0.016474,0.039541,0.040453,0.042215,0.053926,0.039997,0.037453
102,187,292,0.016454,0.050746,0.052521,0.053433,0.065108,0.051284,0.048654
103,79,288,0.016421,0.049520,0.050922,0.051933,0.063115,0.050202,0.046695
104,187,309,0.016354,0.047571,0.048948,0.049814,0.061148,0.048001,0.044794
105,147,309,0.016274,0.041343,0.042091,0.043978,0.055485,0.041643,0.039211
106,79,325,0.016267,0.036880,0.037677,0.039212,0.050613,0.037436,0.034346
107,81,307,0.016261,0.035292,0.036411,0.037498,0.049430,0.035758,0.033169
108,96,309,0.016255,0.036991,0.037678,0.039216,0.050716,0.037413,0.034461
109,63,411,0.016243,0.048210,0.049762,0.050725,0.061938,0.048748,0.045694
110,81,293,0.016240,0.034004,0.035079,0.036194,0.047955,0.034570,0.031715
111,79,376,0.016218,0.041250,0.042091,0.043873,0.055417,0.041463,0.039199
112,77,411,0.016208,0.049527,0.051179,0.052243,0.063483,0.050106,0.047275
113,43,307,0.016175,0.036462,0.037584,0.038895,0.050511,0.036870,0.034336
114,97,408,0.016168,0.036366,0.037351,0.038809,0.050565,0.036715,0.034397
115,58,408,0.016155,0.047380,0.049051,0.049970,0.061168,0.048138,0.045013
116,43,293,0.016150,0.035175,0.036253,0.037590,0.049034,0.035686,0.032884
117,81,292,0.016124,0.036603,0.037855,0.039005,0.050873,0.037198,0.034749
118,184,288,0.016122,0.047643,0.049219,0.050034,0.061236,0.048320,0.045115
